product_id;name;color;size;price
1;Sublimely Self-Righteous Ale;RosyRed;5;56.61
2;Trappistes Rochefort 10;GoldenRod;4;67.97
3;Samuel Smith’s Oatmeal Stout;GhostWhite;5;52.35
4;St. Bernardus Abt 12;Tomato;6;56.77
5;Chocolate St;CadetBlue;8;75.11
6;Oak Aged Yeti Imperial Stout;CadetBlue;6;59.88
7;Duvel;MediumBlue;8;20.60
8;Old Rasputin Russian Imperial Stout;Maroon;7;53.58
9;Stone Imperial Russian Stout;DarkSalmon;8;26.33
10;Bell’s Expedition;Purple;6;40.57
11;Trois Pistoles;DarkOliveGreen;4;44.43
12;Racer 5 India Pale Ale, Bear Republic Bre;MidnightBlue;5;42.09
13;Duvel;Wheat;7;62.65
14;Two Hearted Ale;HoneyDew;4;73.77
15;Arrogant Bastard Ale;Khaki;4;79.89
16;Samuel Smith’s Imperial IPA;SpringGreen;5;46.74
17;Sierra Nevada Celebration Ale;LightSlateGray;4;66.89
18;90 Minute IPA;DarkSeaGreen;7;61.14
19;Samuel Smith’s Imperial IPA;LightGoldenRodYellow;5;53.47
20;Racer 5 India Pale Ale, Bear Republic Bre;DarkCyan;7;25.71
21;Founders Kentucky Breakfast;Brown;4;34.61
22;Bell’s Expedition;Linen;5;46.12
23;Double Bastard Ale;RosyBrown;8;27.09
24;Ruination IPA;BlanchedAlmond;6;78.91
25;Chimay Grande Réserve;DarkSlateBlue;5;76.64
26;Nugget Nectar;Moccasin;6;66.75
27;Brooklyn Black;SteelBlue;4;46.67
28;Chimay Grande Réserve;MediumSeaGreen;7;52.31
29;St. Bernardus Abt 12;Crimson;4;43.72
30;Two Hearted Ale;DarkViolet;6;57.58
31;Maharaj;SeaGreen;5;21.66
32;Sierra Nevada Celebration Ale;Beige;5;46.31
33;Shakespeare Oatmeal;Silver;8;26.12
34;Chocolate St;LimeGreen;7;46.21
35;Brooklyn Black;Darkorange;5;65.54
36;Schneider Aventinus;CadetBlue;6;56.33
37;Sublimely Self-Righteous Ale;White;7;45.24
38;90 Minute IPA;PaleVioletRed;5;52.58
39;Trappistes Rochefort 8;Black;4;51.65
40;Founders Breakfast Stout;OrangeRed;7;26.60
41;Westmalle Trappist Tripel;DarkTurquoise;4;39.57
42;Ten FIDY;SeaShell;5;67.58
43;Edmund Fitzgerald Porter;MediumSeaGreen;7;20.32
44;Founders Kentucky Breakfast;FireBrick;8;43.83
45;Duvel;Darkorange;7;79.08
46;Dreadnaught IPA;Moccasin;8;34.13
47;Yeti Imperial Stout;CornflowerBlue;6;25.82
48;La Fin Du Monde;DarkRed;5;52.20
49;Orval Trappist Ale;DarkSlateGray;8;25.82
50;Stone IPA;White;8;39.08
51;Sierra Nevada Celebration Ale;LightSteelBlue;5;27.31
52;Arrogant Bastard Ale;Purple;7;27.30
53;Celebrator Doppelbock;Purple;5;71.09
54;Dreadnaught IPA;Maroon;4;55.27
55;Yeti Imperial Stout;MintCream;4;48.75
56;Oak Aged Yeti Imperial Stout;Gold;5;29.98
57;Chimay Grande Réserve;MintCream;4;38.73
58;Dreadnaught IPA;LightGreen;6;66.37
59;Trappistes Rochefort 8;CornflowerBlue;8;48.13
60;La Fin Du Monde;Moccasin;4;53.83
61;Weihenstephaner Hefeweissbier;SlateGray;4;32.47
62;Samuel Smith’s Imperial IPA;MediumOrchid;4;29.87
63;Stone IPA;BlueViolet;7;46.06
64;Arrogant Bastard Ale;White;7;45.82
65;Yeti Imperial Stout;LightBlue;8;74.54
66;Stone IPA;Gainsboro;8;48.96
67;Dreadnaught IPA;LavenderBlush;8;54.55
68;Samuel Smith’s Imperial IPA;HoneyDew;8;34.29
69;90 Minute IPA;Wheat;6;76.61
70;Sierra Nevada Bigfoot Barleywine Style Ale;SeaShell;5;63.20
71;Edmund Fitzgerald Porter;DarkSlateBlue;5;72.63
72;Two Hearted Ale;LemonChiffon;4;29.58
73;Dreadnaught IPA;Bisque;5;67.15
74;Sublimely Self-Righteous Ale;LightSalmon;6;59.27
75;Founders Breakfast Stout;LightGreen;5;39.79
76;Ten FIDY;DarkOliveGreen;4;24.50
77;Alpha King Pale Ale;MediumAquaMarine;6;28.97
78;St. Bernardus Abt 12;MediumBlue;4;55.63
79;Hop Rod Rye;Maroon;4;45.14
80;Hennepin;DarkMagenta;8;69.51
81;Duvel;Salmon;6;52.05
82;Chocolate St;Chartreuse;8;69.64
83;Pliny The Elder;MistyRose;8;46.16
84;Oaked Arrogant Bastard Ale;MidnightBlue;6;50.13
85;Sierra Nevada Bigfoot Barleywine Style Ale;LightSteelBlue;8;28.20
86;Yeti Imperial Stout;Salmon;6;69.38
87;Founders Breakfast Stout;DarkRed;7;58.84
88;Bourbon County Stout;PaleTurquoise;5;52.06
89;Chimay Grande Réserve;LavenderBlush;8;28.34
90;Orval Trappist Ale;FireBrick;7;74.82
91;Trappistes Rochefort 8;DimGrey;6;70.24
92;Dreadnaught IPA;Orange;7;34.54
93;Bell’s Expedition;GhostWhite;8;21.75
94;Schneider Aventinus;AliceBlue;7;75.09
95;Shakespeare Oatmeal;LimeGreen;8;27.06
96;Oak Aged Yeti Imperial Stout;DarkTurquoise;7;62.63
97;Bell’s Expedition;GreenYellow;5;77.60
98;Trappistes Rochefort 10;Tan;5;55.54
99;Ten FIDY;MistyRose;5;53.67
100;St. Bernardus Abt 12;Darkorange;4;64.39
101;Ten FIDY;CadetBlue;6;51.37
102;Founders Kentucky Breakfast;PaleGreen;7;72.66
103;Celebrator Doppelbock;LightSkyBlue;7;58.61
104;Trappistes Rochefort 10;Beige;5;50.30
105;Founders Breakfast Stout;SeaShell;4;26.27
106;Hennepin;DarkCyan;6;23.08
107;Founders Kentucky Breakfast;Plum;5;32.51
108;Westmalle Trappist Tripel;Tomato;8;63.58
109;Oaked Arrogant Bastard Ale;PaleTurquoise;6;23.88
110;Ten FIDY;DimGray;8;26.22
111;Shakespeare Oatmeal;DarkSlateBlue;5;76.99
112;HopSlam Ale;White;7;23.07
113;Pliny The Elder;PaleGoldenRod;8;61.43
114;Weihenstephaner Hefeweissbier;LightSeaGreen;4;69.39
115;Oak Aged Yeti Imperial Stout;LimeGreen;5;57.41
116;Stone IPA;Red;5;28.24
117;Stone Imperial Russian Stout;DodgerBlue;6;30.44
118;Shakespeare Oatmeal;CadetBlue;6;37.30
119;Pliny The Elder;SandyBrown;4;69.73
120;Sublimely Self-Righteous Ale;LightSalmon;5;76.28
121;Trappistes Rochefort 10;LimeGreen;7;76.30
122;Oak Aged Yeti Imperial Stout;DarkSlateBlue;8;71.86
123;Stone IPA;Thistle;7;45.97
124;Storm King Stout;LightPink;5;73.31
125;Chocolate St;PaleVioletRed;7;68.25
126;Duvel;SteelBlue;6;60.12
127;Racer 5 India Pale Ale, Bear Republic Bre;DarkGray;4;60.77
128;Péché Mortel;Fuchsia;4;74.67
129;Péché Mortel;DodgerBlue;7;42.19
130;Samuel Smith’s Imperial IPA;Aquamarine;8;57.13
131;Alpha King Pale Ale;DarkMagenta;4;72.73
132;Bourbon County Stout;FireBrick;5;45.33
133;Hop Rod Rye;DarkSlateBlue;4;20.26
134;Founders Kentucky Breakfast;SeaGreen;7;60.06
135;Edmund Fitzgerald Porter;Beige;4;38.59
136;Péché Mortel;DarkOrchid;8;33.07
137;Trappistes Rochefort 10;OldLace;4;70.80
138;Two Hearted Ale;Beige;7;31.36
139;Oak Aged Yeti Imperial Stout;PeachPuff;5;34.82
140;Westmalle Trappist Tripel;DarkBlue;6;70.15
141;Samuel Smith’s Imperial IPA;DarkMagenta;8;47.60
142;Nugget Nectar;Orange;8;71.87
143;La Fin Du Monde;Turquoise;8;60.22
144;Samuel Smith’s Oatmeal Stout;Turquoise;7;60.70
145;Maharaj;DarkGreen;7;35.12
146;90 Minute IPA;BurlyWood;5;79.57
147;Ten FIDY;PapayaWhip;7;49.01
148;Pliny The Elder;Gainsboro;7;51.76
149;Bourbon County Stout;GhostWhite;7;63.19
150;Oaked Arrogant Bastard Ale;DarkMagenta;5;38.22
151;Stone IPA;Teal;7;69.71
152;Sierra Nevada Celebration Ale;OrangeRed;5;39.15
153;Founders Kentucky Breakfast;Teal;8;22.66
154;Old Rasputin Russian Imperial Stout;LightBlue;7;70.06
155;St. Bernardus Abt 12;DimGray;5;44.74
156;Schneider Aventinus;SaddleBrown;6;74.63
157;Schneider Aventinus;LightCyan;5;65.66
158;Edmund Fitzgerald Porter;DarkKhaki;6;43.26
159;Dreadnaught IPA;Yellow;8;26.71
160;La Fin Du Monde;NavajoWhite;5;33.03
161;Double Bastard Ale;DarkTurquoise;7;20.27
162;Hop Rod Rye;YellowGreen;6;55.51
163;Bell’s Expedition;Crimson;8;20.94
164;St. Bernardus Abt 12;Cyan;7;64.71
165;Shakespeare Oatmeal;DarkGray;6;58.97
166;90 Minute IPA;MediumOrchid;5;67.09
167;Samuel Smith’s Oatmeal Stout;DarkOrchid;8;45.84
168;Bell’s Expedition;IndianRed ;5;47.59
169;Sierra Nevada Bigfoot Barleywine Style Ale;Purple;4;45.78
170;Schneider Aventinus;Chartreuse;7;52.97
171;Storm King Stout;Sienna;8;54.28
172;HopSlam Ale;MidnightBlue;5;50.91
173;Trois Pistoles;PaleGreen;7;36.80
174;Bourbon County Stout;Navy;5;59.62
175;Arrogant Bastard Ale;Salmon;5;32.93
176;Old Rasputin Russian Imperial Stout;Orange;6;61.07
177;HopSlam Ale;Pink;6;68.47
178;Nugget Nectar;PaleGoldenRod;6;64.64
179;Oaked Arrogant Bastard Ale;MediumSpringGreen;4;63.68
180;Chimay Grande Réserve;AntiqueWhite;5;63.02
181;Chimay Grande Réserve;DarkGreen;6;23.18
182;Duvel;DimGray;7;48.71
183;Trois Pistoles;DarkCyan;4;50.21
184;La Fin Du Monde;DarkCyan;4;58.64
185;Ruination IPA;DarkSlateGray;8;51.57
186;Weihenstephaner Hefeweissbier;Yellow;4;25.70
187;Trois Pistoles;DarkSeaGreen;8;71.81
188;Dreadnaught IPA;LightSalmon;8;61.63
189;Samuel Smith’s Imperial IPA;PaleGreen;7;42.54
190;Sublimely Self-Righteous Ale;Brown;5;29.58
191;Pliny The Elder;DimGray;5;39.09
192;Alpha King Pale Ale;DarkOrchid;5;63.16
193;Schneider Aventinus;HoneyDew;6;39.87
194;Trois Pistoles;DarkBlue;8;34.63
195;Hercules Double IPA;DeepSkyBlue;6;44.43
196;Samuel Smith’s Imperial IPA;LightCoral;6;79.33
197;St. Bernardus Abt 12;NavajoWhite;8;58.27
198;Sierra Nevada Celebration Ale;Gray;8;34.01
199;Ten FIDY;Cornsilk;5;37.06
200;Brooklyn Black;BlueViolet;6;63.46
201;Chimay Grande Réserve;PaleVioletRed;4;73.57
202;Orval Trappist Ale;GhostWhite;4;48.33
203;Trappistes Rochefort 10;Chocolate;7;32.62
204;Oaked Arrogant Bastard Ale;Silver;6;66.44
205;90 Minute IPA;ForestGreen;7;73.35
206;St. Bernardus Abt 12;Chocolate;8;34.62
207;Pliny The Elder;MediumVioletRed;5;65.35
208;Ruination IPA;Brown;6;76.47
209;Old Rasputin Russian Imperial Stout;SkyBlue;8;46.71
210;Chimay Grande Réserve;YellowGreen;6;36.00
211;Two Hearted Ale;Chocolate;4;43.55
212;Sierra Nevada Celebration Ale;DodgerBlue;8;25.05
213;Celebrator Doppelbock;Tomato;6;53.43
214;Bourbon County Stout;LightGoldenRodYellow;7;34.74
215;Oak Aged Yeti Imperial Stout;Magenta;5;61.59
216;Hercules Double IPA;Snow;7;73.68
217;Yeti Imperial Stout;ForestGreen;8;63.44
218;Oak Aged Yeti Imperial Stout;Salmon;5;67.82
219;90 Minute IPA;AntiqueWhite;8;39.28
220;Sierra Nevada Celebration Ale;OrangeRed;8;60.98
221;Yeti Imperial Stout;DimGray;4;63.85
222;Old Rasputin Russian Imperial Stout;DarkGreen;7;61.57
223;Alpha King Pale Ale;Indigo ;7;49.71
224;Trappistes Rochefort 10;MediumSeaGreen;6;62.89
225;Bourbon County Stout;Purple;6;31.15
226;La Fin Du Monde;LightSlateGray;7;72.25
227;Samuel Smith’s Oatmeal Stout;LemonChiffon;8;78.76
228;Ten FIDY;Cornsilk;5;43.45
229;Trappistes Rochefort 8;OliveDrab;4;72.24
230;Two Hearted Ale;DarkGoldenRod;4;59.48
231;Samuel Smith’s Oatmeal Stout;LimeGreen;7;66.59
232;Bell’s Expedition;LightSteelBlue;4;79.68
233;Sierra Nevada Celebration Ale;DarkSlateGray;6;68.45
234;Sublimely Self-Righteous Ale;PowderBlue;7;53.16
235;HopSlam Ale;LightGreen;6;36.25
236;Yeti Imperial Stout;LavenderBlush;7;75.39
237;Oak Aged Yeti Imperial Stout;Ivory;7;71.67
238;Westmalle Trappist Tripel;NavajoWhite;8;60.47
239;Weihenstephaner Hefeweissbier;OrangeRed;8;63.80
240;Bell’s Expedition;Maroon;6;31.31
241;Trappistes Rochefort 8;Aquamarine;5;42.02
242;Maudite;Green;7;21.16
243;Arrogant Bastard Ale;ForestGreen;6;22.89
244;Arrogant Bastard Ale;MediumOrchid;4;42.04
245;Pliny The Elder;MediumSpringGreen;7;70.53
246;Chimay Grande Réserve;Orange;5;64.27
247;Storm King Stout;OrangeRed;4;34.10
248;Orval Trappist Ale;Sienna;6;60.49
249;Hennepin;GhostWhite;8;44.89
250;Alpha King Pale Ale;DarkOrchid;6;22.82
251;Schneider Aventinus;LightSeaGreen;8;62.32
